,Unnamed: 0,Datetime,Tweet Id,Text,Username,Clean,Language
101,101,2023-01-27 18:55:59+00:00,1619046580526653440,@POTUS I thought you tweeted a short while ago that there was no inflation?,OnlyNDaPilipins,I thought tweeted short ago inflation,en
105,105,2023-01-27 17:23:58+00:00,1619023423015116800,Inflation is real,KyzteR21,Inflation real,en
106,106,2023-01-27 17:16:25+00:00,1619021523771326464,"If you tryna say it's the little things that matter, then you could have used other scenarios without money involved cuz inflation is waving and flowers and starbucks 🤑🤑 and him stopping at a gas station means he can afford a car and gas which are also 🤑🤑🤑 lol",yanHae15,If tryna it's little things matter scenarios money involved cuz inflation waving flowers starbucks stopping gas station means afford car gas lol,en
107,107,2023-01-27 16:54:47+00:00,1619016077752811522,@ZK_shark Biggest rug on earth is the inflation impact on DQ blizzards..,TrblTwn,Biggest rug earth inflation impact DQ blizzards,en
108,108,2023-01-27 16:53:08+00:00,1619015662042550272,"Inflation, a potential recession, and ongoing security threats are just a few of the challenges IT leaders face in the coming year. Here are five trends to watch. https://t.co/FYhC6kn6aS",abraxas_son,Inflation potential recession ongoing security threats challenges IT leaders face coming year Here trends watch,en
109,109,2023-01-27 16:39:16+00:00,1619012172746559497,"$PSEI - BSP vows to bring down  inflation to 2-4% target https://t.co/EU6a3RevPk

https://t.co/8UNwJqc2TS #PSETODAY #PSEI #Philippines",psetoday,PSEI - BSP vows bring inflation -4 target,en
110,110,2023-01-27 16:19:11+00:00,1619007119403143169,"PRESIDENT Ferdinand ""Bongbong"" Marcos Jr. is happy the country's economy grew by 7.6 percent last year, but is still wary about the impact of rising inflation.

https://t.co/lEeZzSxKlk",TheManilaTimes,"PRESIDENT Ferdinand ""Bongbong"" Marcos Jr happy country's economy grew percent year wary impact rising inflation",en
111,111,2023-01-27 16:15:00+00:00,1619006065017851906,"Bangko Sentral ng Pilipinas (BSP) Governor Felipe M. Medalla is confident the inflation-targetting central bank has enough arsenal to bring back the inflation path to within the target of two percent to four percent by September or October this year.

https://t.co/xnrSy7gMno",manilabulletin,Bangko Sentral Pilipinas (BSP) Governor Felipe M Medalla confident inflation-targetting central bank arsenal bring inflation path target percent percent September October year,en
112,112,2023-01-27 16:05:37+00:00,1619003704606326785,"@HawaiiDelilah After the GOP exploited the news of 8% inflation, they think this is okay? My Social Security is increased with inflation, This tax would cut my benefits without ever compensating me. Maybe that's the idea. Can't imagine how this is a winning message for them, though",carfreesince93,After GOP exploited news inflation think okay My Social Security increased inflation This tax cut benefits compensating Maybe that's idea Can't imagine winning message,en
113,113,2023-01-27 15:40:46+00:00,1618997452727812096,highest growth with highest inflation 😔,KESHIIE18,highest growth highest inflation,en
114,114,2023-01-27 15:12:09+00:00,1618990248591241216,"ERM groups in a nutshell

Game being decided with Timer
Battlezone kill inflation 
8~14 man final zones

somebody didn't even qualify on 16 kills monkaS

Personally I think battlezone kills and BR kills being the same amount of points made it so everybody has to play battlezone https://t.co/xT0ZEuIcIB",lNeroTV,ERM groups nutshellGame decided TimerBattlezone kill inflation ~14 man final zonessomebody didn't qualify kills monkaSPersonally I think battlezone kills BR kills points everybody play battlezone,en
115,115,2023-01-27 15:09:30+00:00,1618989581592072192,"@fneuhann The image shows SK-105 Kürassier but the article discusses Leopard 1.
You can also see some M113 in the video.
It's understandable to not sell at a loss (consider inflation, storage cost, interest, ...) but 500.000 seems like profiteering",Rattus_albus,The image shows SK-105 Krassier article discusses Leopard You M113 video It's understandable sell loss (consider inflation storage cost interest ) like profiteering,en
117,117,2023-01-27 14:44:37+00:00,1618983322184548352,"GDP vs Fed

Recession, Inflation vs Crypto..  Learn it in our live kanina. 

https://t.co/ugJUKNgAHY https://t.co/J7bmx0XAmx",MiningMiranda,GDP vs FedRecession Inflation vs Crypto Learn live kanina,en
121,121,2023-01-27 13:13:55+00:00,1618960493217218565,@blockchainchick Inflation only costs you money if you have a store of fiat reserves.  It's a tax on savings.,DrainTheSenate,Inflation costs money store fiat reserves It's tax savings,en
122,122,2023-01-27 13:10:16+00:00,1618959575717404674,"@inquirerdotnet @DYGalvezINQ With 8% inflation &amp; PBBM not settling their Family Tax Due?
Tsk..tsk..tsk...",ed_dolar,With inflation PBBM settling Family Tax Due Tsk tsk tsk,en
123,123,2023-01-27 12:40:34+00:00,1618952100209168384,Not too hot and not too cold. That’s what investors are hoping for in terms of the economic outlook as China recovers from COVID and as companies grapple with sticky inflation and increasingly cash-strapped consumers. | @Reuters https://t.co/PDtBVpbu6f,inquirerdotnet,Not hot cold Thats investors hoping terms economic outlook China recovers COVID companies grapple sticky inflation increasingly cash-strapped consumers,en
124,124,2023-01-27 12:37:08+00:00,1618951239055839232,@miamihart eh yung 8% inflation rate 🤮🤮🤮🤮🤮🤮🤮🤮🤮 GISING!..,ydnas776,eh yung inflation rate GISING,en
126,126,2023-01-27 11:49:34+00:00,1618939266498965506,"While still wary about the existing issue of inflation, the President is confident that the country is on the right path to sustaining this growth as it secures and continue to seek foreign investments.",bcs_gov,While wary existing issue inflation President confident country right path sustaining growth secures continue seek foreign investments,en
